 Date  ,Year,Month,State,City,Metro City,Age Group,Education_Level,Family Background,Labour Force,Employed People,Unemployed People,Male Unemployed,Female Unemployed,Unemployement Rate ,Urban Unemployement ,Rural Unemployement ,Youth Unemployement 
2022-10,2022,Oct,Andhra Pradesh,Chennai,Yes,35-44,Higher Secondary,Rich,23365441,21664013,1701428,957567,743861,7.28,9.21,6.83,10.57
2022-11,2022,Nov,Andhra Pradesh,Bangalore,Yes,25-34,Undergraduate,Lower Middle,22940923,21638699,1302224,731548,570676,5.68,7.18,5.76,9.31
2022-12,2022,Dec,Andhra Pradesh,Delhi,Yes,18-24,Undergraduate,Poor,22327692,20384097,1943595,1114584,829011,8.70,9.62,8.25,13.33
2023-01,2023,Jan,Andhra Pradesh,Kolkata,Yes,55-60,Postgraduate,Poor,22037835,19765531,2272304,1442698,829606,10.31,10.34,8.59,12.69
2023-02,2023,Feb,Andhra Pradesh,Bangalore,Yes,45-54,Primary School,Lower Middle,22646496,21270915,1375581,958678,416903,6.07,6.55,5.49,8.77
2023-03,2023,Mar,Andhra Pradesh,Delhi,Yes,45-54,Primary School,Lower Middle,23349190,22646362,702828,453509,249319,3.01,4.81,2.51,7.17
2023-04,2023,Apr,Andhra Pradesh,Pune,Yes,25-34,No Formal Education,Rich,23506409,22472218,1034191,664341,369850,4.40,5.16,5.22,8.70
2023-05,2023,May,Andhra Pradesh,Bangalore,Yes,45-54,Secondary School,Poor,22985428,20647343,2338085,1477301,860784,10.17,12.06,10.89,12.96
2023-06,2023,Jun,Andhra Pradesh,Delhi,Yes,55-60,Secondary School,Lower Middle,22087796,21088463,999333,564739,434594,4.52,5.57,2.74,7.80
2023-07,2023,Jul,Andhra Pradesh,Non-Metro,No,55-60,Higher Secondary,Poor,22200444,20908097,1292347,845854,446493,5.82,7.23,4.67,8.53
2023-08,2023,Aug,Andhra Pradesh,Mumbai,Yes,35-44,Higher Secondary,Lower Middle,23660251,21601998,2058253,1381139,677114,8.70,8.45,8.44,14.17
2023-09,2023,Sep,Andhra Pradesh,Kolkata,Yes,18-24,Postgraduate,Poor,23496901,22573034,923867,610663,313204,3.93,4.53,3.42,7.49
2023-10,2023,Oct,Andhra Pradesh,Chennai,Yes,45-54,Undergraduate,Poor,22614693,20867451,1747242,987187,760055,7.73,9.27,6.79,13.55
2023-11,2023,Nov,Andhra Pradesh,Bangalore,Yes,35-44,Higher Secondary,Poor,23065689,21543449,1522240,856248,665992,6.60,7.26,5.24,12.38
2023-12,2023,Dec,Andhra Pradesh,Bangalore,Yes,25-34,Primary School,Upper Middle,23731069,21108919,2622150,1486810,1135340,11.05,13.04,9.22,16.00
2024-01,2024,Jan,Andhra Pradesh,Non-Metro,No,45-54,No Formal Education,Poor,24163520,21595583,2567937,1677388,890549,10.63,12.14,9.91,13.52
2024-02,2024,Feb,Andhra Pradesh,Delhi,Yes,55-60,Undergraduate,Poor,22843241,21059375,1783866,1219779,564087,7.81,7.51,7.55,13.26
2024-03,2024,Mar,Andhra Pradesh,Chennai,Yes,45-54,Secondary School,Poor,24022817,22493702,1529115,976773,552342,6.37,6.50,6.48,9.36
2024-04,2024,Apr,Andhra Pradesh,Delhi,Yes,45-54,Postgraduate,Lower Middle,22689980,20893641,1796339,1105049,691290,7.92,9.14,8.22,13.21
2024-05,2024,May,Andhra Pradesh,Mumbai,Yes,18-24,No Formal Education,Lower Middle,22475906,20524921,1950985,1190166,760819,8.68,8.99,9.09,14.59
2024-06,2024,Jun,Andhra Pradesh,Hyderabad,Yes,55-60,Secondary School,Rich,23211057,21060162,2150895,1287101,863794,9.27,8.49,8.93,15.14
2024-07,2024,Jul,Andhra Pradesh,Bangalore,Yes,35-44,No Formal Education,Upper Middle,23533610,20815120,2718490,1680519,1037971,11.55,11.39,12.40,17.11
2024-08,2024,Aug,Andhra Pradesh,Ahmedabad,Yes,25-34,Higher Secondary,Rich,22979435,21184178,1795257,1154385,640872,7.81,8.20,6.87,12.15
2024-09,2024,Sep,Andhra Pradesh,Kolkata,Yes,55-60,Postgraduate,Lower Middle,23806083,23050339,755744,493281,262463,3.17,3.42,2.92,8.85
2024-10,2024,Oct,Andhra Pradesh,Non-Metro,No,55-60,Undergraduate,Upper Middle,22118696,20410038,1708658,1164449,544209,7.72,7.96,8.06,11.65
2024-11,2024,Nov,Andhra Pradesh,Mumbai,Yes,25-34,No Formal Education,Upper Middle,23841557,22466274,1375283,873802,501481,5.77,5.17,3.81,8.07
2024-12,2024,Dec,Andhra Pradesh,Bangalore,Yes,35-44,Undergraduate,Upper Middle,23524299,21201894,2322405,1463468,858937,9.87,11.18,10.71,15.27
2020-01,2020,Jan,Arunachal Pradesh,Mumbai,Yes,18-24,Primary School,Rich,32217833,30650514,1567319,1004535,562784,4.86,4.67,2.93,8.86
2020-02,2020,Feb,Arunachal Pradesh,Delhi,Yes,45-54,No Formal Education,Lower Middle,30745200,28680586,2064614,1393006,671608,6.72,8.62,4.98,11.88
2020-03,2020,Mar,Arunachal Pradesh,Delhi,Yes,35-44,Secondary School,Upper Middle,30573619,28777883,1795736,1199013,596723,5.87,5.28,3.92,9.28
2020-04,2020,Apr,Arunachal Pradesh,Non-Metro,No,35-44,Primary School,Rich,31095628,27339738,3755890,2286723,1469167,12.08,12.72,11.43,17.72
2020-05,2020,May,Arunachal Pradesh,Non-Metro,No,18-24,Primary School,Poor,31427618,29089357,2338261,1565397,772864,7.44,7.21,6.82,13.36
2020-06,2020,Jun,Arunachal Pradesh,Non-Metro,No,35-44,Secondary School,Upper Middle,30795766,29800376,995390,596549,398841,3.23,3.84,2.61,7.57
2020-07,2020,Jul,Arunachal Pradesh,Non-Metro,No,35-44,Secondary School,Upper Middle,29832530,26782576,3049954,1996119,1053835,10.22,11.23,8.74,12.99
2020-08,2020,Aug,Arunachal Pradesh,Non-Metro,No,55-60,Postgraduate,Poor,29403541,27823369,1580172,909136,671036,5.37,6.02,4.98,8.80
2020-09,2020,Sep,Arunachal Pradesh,Hyderabad,Yes,35-44,Undergraduate,Poor,29562016,28213096,1348920,839259,509661,4.56,4.39,4.98,9.56
2020-10,2020,Oct,Arunachal Pradesh,Ahmedabad,Yes,25-34,Higher Secondary,Upper Middle,29846256,28449646,1396610,811992,584618,4.68,5.27,4.84,6.93
2020-11,2020,Nov,Arunachal Pradesh,Delhi,Yes,25-34,Postgraduate,Upper Middle,31587796,28829014,2758782,1529940,1228842,8.73,8.93,7.05,13.68
2020-12,2020,Dec,Arunachal Pradesh,Mumbai,Yes,25-34,Postgraduate,Rich,29839362,27469498,2369864,1503903,865961,7.94,7.64,6.97,11.84
2021-01,2021,Jan,Arunachal Pradesh,Hyderabad,Yes,25-34,No Formal Education,Rich,30755591,27776544,2979047,1899529,1079518,9.69,9.07,8.54,13.14
2021-02,2021,Feb,Arunachal Pradesh,Ahmedabad,Yes,35-44,Undergraduate,Lower Middle,31268211,29897199,1371012,871438,499574,4.38,5.20,3.10,6.79
2021-03,2021,Mar,Arunachal Pradesh,Ahmedabad,Yes,18-24,Secondary School,Upper Middle,29772786,27961476,1811310,1046910,764400,6.08,5.14,6.17,12.07
2021-04,2021,Apr,Arunachal Pradesh,Non-Metro,No,45-54,Postgraduate,Lower Middle,32040809,30199099,1841710,1172063,669647,5.75,5.52,4.26,10.42
2021-05,2021,May,Arunachal Pradesh,Bangalore,Yes,25-34,Postgraduate,Rich,31039215,28804807,2234408,1322762,911646,7.20,7.47,6.72,10.17
2021-06,2021,Jun,Arunachal Pradesh,Hyderabad,Yes,55-60,Postgraduate,Upper Middle,29631500,27112001,2519499,1616492,903007,8.50,10.30,7.46,12.88
2021-07,2021,Jul,Arunachal Pradesh,Delhi,Yes,55-60,Primary School,Rich,30968303,29263790,1704513,1077828,626685,5.50,5.27,5.55,10.54
2021-08,2021,Aug,Arunachal Pradesh,Pune,Yes,35-44,Postgraduate,Upper Middle,31113260,30266233,847027,525780,321247,2.72,4.51,3.21,8.58
2021-09,2021,Sep,Arunachal Pradesh,Kolkata,Yes,18-24,Postgraduate,Rich,32169416,29678766,2490650,1437565,1053085,7.74,9.27,6.16,12.92
2021-10,2021,Oct,Arunachal Pradesh,Bangalore,Yes,55-60,Undergraduate,Upper Middle,29898975,28167218,1731757,994978,736779,5.79,6.79,5.36,9.23
2021-11,2021,Nov,Arunachal Pradesh,Kolkata,Yes,55-60,Postgraduate,Poor,31794228,29740451,2053777,1264860,788917,6.46,7.70,5.97,9.39
2021-12,2021,Dec,Arunachal Pradesh,Bangalore,Yes,35-44,Secondary School,Lower Middle,32049945,29199028,2850917,1732170,1118747,8.90,10.71,8.78,12.23
2022-01,2022,Jan,Arunachal Pradesh,Pune,Yes,35-44,Higher Secondary,Poor,31188562,28794219,2394343,1508481,885862,7.68,7.13,6.61,10.67
2022-02,2022,Feb,Arunachal Pradesh,Hyderabad,Yes,25-34,Primary School,Poor,31570322,29622615,1947707,1081035,866672,6.17,7.80,5.20,11.45
2022-03,2022,Mar,Arunachal Pradesh,Chennai,Yes,45-54,Undergraduate,Lower Middle,31734736,29684593,2050143,1173681,876462,6.46,5.50,6.26,10.72
2022-04,2022,Apr,Arunachal Pradesh,Chennai,Yes,35-44,Postgraduate,Lower Middle,31484747,29897138,1587609,1015838,571771,5.04,5.07,3.72,8.74
2022-05,2022,May,Arunachal Pradesh,Delhi,Yes,18-24,No Formal Education,Upper Middle,32087784,29319450,2768334,1580351,1187983,8.63,9.81,8.41,11.04
2022-06,2022,Jun,Arunachal Pradesh,Bangalore,Yes,25-34,No Formal Education,Rich,32109042,30825429,1283613,858111,425502,4.00,4.12,2.20,6.31
2022-07,2022,Jul,Arunachal Pradesh,Mumbai,Yes,35-44,Undergraduate,Upper Middle,29851803,28136769,1715034,1158717,556317,5.75,4.91,4.75,10.96
2022-08,2022,Aug,Arunachal Pradesh,Chennai,Yes,18-24,Primary School,Upper Middle,29291865,27531652,1760213,1056171,704042,6.01,7.78,5.41,9.93
2022-09,2022,Sep,Arunachal Pradesh,Hyderabad,Yes,18-24,Higher Secondary,Lower Middle,29378818,27227494,2151324,1477771,673553,7.32,6.42,6.26,12.44
2022-10,2022,Oct,Arunachal Pradesh,Delhi,Yes,55-60,No Formal Education,Upper Middle,30133072,27556410,2576662,1502231,1074431,8.55,10.48,7.93,12.78
2022-11,2022,Nov,Arunachal Pradesh,Pune,Yes,35-44,Secondary School,Rich,29846077,27691279,2154798,1281974,872824,7.22,8.91,5.84,9.98
2022-12,2022,Dec,Arunachal Pradesh,Ahmedabad,Yes,35-44,Primary School,Poor,29390230,26668901,2721329,1689428,1031901,9.26,10.59,8.62,13.36
2023-01,2023,Jan,Arunachal Pradesh,Mumbai,Yes,55-60,Secondary School,Rich,31002318,30120846,881472,505335,376137,2.84,2.66,3.54,6.95
2023-02,2023,Feb,Arunachal Pradesh,Delhi,Yes,55-60,No Formal Education,Poor,31745382,30310898,1434484,999605,434879,4.52,4.18,3.21,9.21
2023-03,2023,Mar,Arunachal Pradesh,Delhi,Yes,35-44,Postgraduate,Rich,31289256,29427246,1862010,1090630,771380,5.95,7.52,6.44,9.54
2023-04,2023,Apr,Arunachal Pradesh,Pune,Yes,25-34,Primary School,Upper Middle,31336529,28836266,2500263,1452021,1048242,7.98,9.19,8.52,10.47
2023-05,2023,May,Arunachal Pradesh,Bangalore,Yes,45-54,Secondary School,Lower Middle,31447047,29038003,2409044,1654034,755010,7.66,9.14,6.75,9.80
2023-06,2023,Jun,Arunachal Pradesh,Non-Metro,No,25-34,Undergraduate,Rich,31837544,29054937,2782607,1674513,1108094,8.74,8.40,9.66,13.86
2023-07,2023,Jul,Arunachal Pradesh,Mumbai,Yes,25-34,Secondary School,Poor,32314346,29944790,2369556,1470688,898868,7.33,7.14,6.96,11.87
2023-08,2023,Aug,Arunachal Pradesh,Non-Metro,No,45-54,Primary School,Lower Middle,30072361,28554297,1518064,866667,651397,5.05,6.75,5.12,9.78
2023-09,2023,Sep,Arunachal Pradesh,Delhi,Yes,18-24,Undergraduate,Poor,31789466,29487498,2301968,1438070,863898,7.24,7.73,7.40,9.67
2023-10,2023,Oct,Arunachal Pradesh,Hyderabad,Yes,35-44,Primary School,Rich,29709106,26849848,2859258,1685682,1173576,9.62,10.52,9.11,13.92
2023-11,2023,Nov,Arunachal Pradesh,Delhi,Yes,45-54,Postgraduate,Upper Middle,31653424,29642334,2011090,1233412,777678,6.35,5.91,4.62,11.44
2023-12,2023,Dec,Arunachal Pradesh,Non-Metro,No,45-54,No Formal Education,Upper Middle,29487925,26749638,2738287,1849882,888405,9.29,9.18,8.99,13.19
2024-01,2024,Jan,Arunachal Pradesh,Chennai,Yes,45-54,Secondary School,Upper Middle,31535268,29016661,2518607,1466436,1052171,7.99,9.51,8.53,13.81
2024-02,2024,Feb,Arunachal Pradesh,Delhi,Yes,55-60,No Formal Education,Poor,29754266,27561475,2192791,1411060,781731,7.37,7.42,6.61,12.19
2024-03,2024,Mar,Arunachal Pradesh,Kolkata,Yes,25-34,Higher Secondary,Upper Middle,29511605,28003380,1508225,847116,661109,5.11,5.05,5.53,10.96
2024-04,2024,Apr,Arunachal Pradesh,Mumbai,Yes,45-54,Postgraduate,Rich,31712294,28031822,3680472,2405497,1274975,11.61,13.22,11.80,16.83
2024-05,2024,May,Arunachal Pradesh,Non-Metro,No,45-54,Secondary School,Lower Middle,31894685,28841555,3053130,1793561,1259569,9.57,8.73,9.58,11.75
2024-06,2024,Jun,Arunachal Pradesh,Non-Metro,No,55-60,Postgraduate,Lower Middle,31090531,28253701,2836830,1985505,851325,9.12,9.06,7.49,14.05
2024-07,2024,Jul,Arunachal Pradesh,Chennai,Yes,35-44,Primary School,Upper Middle,30577400,28554877,2022523,1353677,668846,6.61,8.10,4.73,11.00
2024-08,2024,Aug,Arunachal Pradesh,Delhi,Yes,35-44,Undergraduate,Upper Middle,29986443,27979773,2006670,1139959,866711,6.69,6.71,6.87,8.95
2024-09,2024,Sep,Arunachal Pradesh,Delhi,Yes,18-24,Undergraduate,Lower Middle,31714481,29232779,2481702,1483593,998109,7.83,9.46,7.08,11.67
2024-10,2024,Oct,Arunachal Pradesh,Delhi,Yes,35-44,Secondary School,Upper Middle,32329675,31314320,1015355,558481,456874,3.14,2.17,1.30,5.49
2024-11,2024,Nov,Arunachal Pradesh,Non-Metro,No,25-34,Postgraduate,Poor,31067397,28907764,2159633,1275809,883824,6.95,6.96,6.52,11.88
2024-12,2024,Dec,Arunachal Pradesh,Ahmedabad,Yes,25-34,Higher Secondary,Lower Middle,29287903,27562977,1724926,1069620,655306,5.89,5.59,4.02,7.96
2020-01,2020,Jan,Assam,Bangalore,Yes,35-44,Higher Secondary,Lower Middle,17124410,16252250,872160,584084,288076,5.09,7.04,5.75,9.50
2020-02,2020,Feb,Assam,Pune,Yes,45-54,Higher Secondary,Upper Middle,17038117,15939201,1098916,767458,331458,6.45,6.65,6.96,9.37
2020-03,2020,Mar,Assam,Ahmedabad,Yes,55-60,Undergraduate,Lower Middle,15618249,14565021,1053228,730508,322720,6.74,8.65,7.39,12.45
2020-04,2020,Apr,Assam,Non-Metro,No,35-44,Primary School,Lower Middle,17187448,16156593,1030855,593859,436996,6.00,7.09,4.46,11.26
2020-05,2020,May,Assam,Bangalore,Yes,25-34,Secondary School,Poor,16437493,15518707,918786,587050,331736,5.59,5.76,4.41,9.50
2020-06,2020,Jun,Assam,Non-Metro,No,18-24,No Formal Education,Poor,15630769,14756578,874191,592552,281639,5.59,6.80,4.44,8.60
2020-07,2020,Jul,Assam,Bangalore,Yes,55-60,No Formal Education,Lower Middle,17133755,15918769,1214986,688192,526794,7.09,7.58,6.53,11.46
2020-08,2020,Aug,Assam,Delhi,Yes,35-44,Undergraduate,Poor,16908669,15938447,970222,584239,385983,5.74,6.94,5.30,11.21
2020-09,2020,Sep,Assam,Non-Metro,No,55-60,Primary School,Rich,15820780,14915153,905627,543467,362160,5.72,6.58,5.98,8.36
2020-10,2020,Oct,Assam,Kolkata,Yes,25-34,Primary School,Rich,17000690,15971858,1028832,700404,328428,6.05,6.06,6.28,8.69
2020-11,2020,Nov,Assam,Non-Metro,No,18-24,No Formal Education,Poor,16389170,15104832,1284338,707616,576722,7.84,7.18,6.97,9.87
2020-12,2020,Dec,Assam,Kolkata,Yes,25-34,No Formal Education,Rich,16898840,15580592,1318248,750435,567813,7.80,9.32,6.98,10.52
2021-01,2021,Jan,Assam,Chennai,Yes,35-44,No Formal Education,Rich,15842648,14489552,1353096,900658,452438,8.54,7.74,8.29,11.92
2021-02,2021,Feb,Assam,Delhi,Yes,55-60,Higher Secondary,Rich,16574963,15190367,1384596,771027,613569,8.35,9.30,8.14,11.89
2021-03,2021,Mar,Assam,Delhi,Yes,25-34,Undergraduate,Rich,15971626,14490544,1481082,814823,666259,9.27,9.55,8.63,11.93
2021-04,2021,Apr,Assam,Chennai,Yes,25-34,Postgraduate,Rich,16859748,15833653,1026095,671119,354976,6.09,7.05,4.91,11.89
2021-05,2021,May,Assam,Non-Metro,No,45-54,Postgraduate,Upper Middle,17103448,15982288,1121160,687225,433935,6.56,6.38,7.51,10.19
2021-06,2021,Jun,Assam,Kolkata,Yes,18-24,No Formal Education,Rich,17022354,16221268,801086,468229,332857,4.71,4.81,5.30,8.60
2021-07,2021,Jul,Assam,Chennai,Yes,35-44,Undergraduate,Rich,16820628,15527887,1292741,874820,417921,7.69,7.57,8.42,13.56
2021-08,2021,Aug,Assam,Pune,Yes,18-24,Postgraduate,Rich,15861818,14606593,1255225,777379,477846,7.91,7.66,7.59,10.82
2021-09,2021,Sep,Assam,Ahmedabad,Yes,35-44,Undergraduate,Poor,16091860,14822324,1269536,810648,458888,7.89,6.92,6.11,11.46
2021-10,2021,Oct,Assam,Non-Metro,No,55-60,No Formal Education,Poor,16344086,15525364,818722,523984,294738,5.01,6.87,5.73,9.91
2021-11,2021,Nov,Assam,Hyderabad,Yes,45-54,Higher Secondary,Poor,15726436,14820784,905652,575664,329988,5.76,6.44,3.79,9.06
2021-12,2021,Dec,Assam,Mumbai,Yes,55-60,Higher Secondary,Lower Middle,16405947,15114237,1291710,727465,564245,7.87,8.06,6.27,12.14
2022-01,2022,Jan,Assam,Mumbai,Yes,35-44,Undergraduate,Upper Middle,15885878,14459682,1426196,820237,605959,8.98,10.67,8.76,13.44
2022-02,2022,Feb,Assam,Ahmedabad,Yes,25-34,Higher Secondary,Lower Middle,16561909,15196112,1365797,812410,553387,8.25,9.60,8.08,12.18
2022-03,2022,Mar,Assam,Kolkata,Yes,18-24,Higher Secondary,Lower Middle,16536576,15163575,1373001,916580,456421,8.30,8.62,8.48,12.68
2022-04,2022,Apr,Assam,Kolkata,Yes,25-34,Secondary School,Upper Middle,16623076,14802336,1820740,1132303,688437,10.95,11.36,11.19,16.44
2022-05,2022,May,Assam,Kolkata,Yes,55-60,No Formal Education,Upper Middle,15822864,14893427,929437,514098,415339,5.87,6.82,4.47,10.59
2022-06,2022,Jun,Assam,Mumbai,Yes,45-54,No Formal Education,Lower Middle,15676332,14604652,1071680,594351,477329,6.84,8.72,6.08,12.22
2022-07,2022,Jul,Assam,Delhi,Yes,18-24,Secondary School,Rich,16815390,15172715,1642675,1027865,614810,9.77,10.53,7.86,13.35
2022-08,2022,Aug,Assam,Chennai,Yes,25-34,Secondary School,Upper Middle,16550845,15141556,1409289,901463,507826,8.51,8.37,7.59,12.05
2022-09,2022,Sep,Assam,Chennai,Yes,25-34,Higher Secondary,Lower Middle,15944249,14430717,1513532,1008617,504915,9.49,11.41,8.04,14.91
2022-10,2022,Oct,Assam,Ahmedabad,Yes,18-24,Higher Secondary,Lower Middle,16364294,15260298,1103996,648139,455857,6.75,6.03,6.70,9.99
2022-11,2022,Nov,Assam,Ahmedabad,Yes,45-54,Undergraduate,Upper Middle,15572882,14156682,1416200,903906,512294,9.09,9.46,7.80,11.39
2022-12,2022,Dec,Assam,Non-Metro,No,45-54,Postgraduate,Poor,15836105,14821094,1015011,637392,377619,6.41,6.70,5.16,10.88
2023-01,2023,Jan,Assam,Bangalore,Yes,55-60,Higher Secondary,Poor,15832602,14989797,842805,468178,374627,5.32,6.67,5.44,9.11
2023-02,2023,Feb,Assam,Non-Metro,No,55-60,Higher Secondary,Lower Middle,16973415,15608527,1364888,864958,499930,8.04,10.00,6.41,10.97
2023-03,2023,Mar,Assam,Non-Metro,No,55-60,No Formal Education,Poor,15926085,14763743,1162342,670673,491669,7.30,8.05,7.36,10.89
2023-04,2023,Apr,Assam,Delhi,Yes,18-24,Primary School,Poor,16344018,15356081,987937,645019,342918,6.04,7.65,5.41,10.11
2023-05,2023,May,Assam,Chennai,Yes,25-34,Primary School,Rich,15786799,14022349,1764450,978380,786070,11.18,12.20,12.09,13.55
2023-06,2023,Jun,Assam,Bangalore,Yes,25-34,No Formal Education,Upper Middle,16659610,15539948,1119662,690341,429321,6.72,8.66,5.84,8.79
2023-07,2023,Jul,Assam,Non-Metro,No,18-24,Postgraduate,Rich,16974058,15558942,1415116,941445,473671,8.34,9.37,6.98,12.97
2023-08,2023,Aug,Assam,Non-Metro,No,45-54,Primary School,Lower Middle,16203123,15236412,966711,626124,340587,5.97,6.78,4.92,11.43
2023-09,2023,Sep,Assam,Hyderabad,Yes,45-54,Postgraduate,Upper Middle,15736782,14717658,1019124,659961,359163,6.48,7.90,6.76,11.67
2023-10,2023,Oct,Assam,Ahmedabad,Yes,18-24,Undergraduate,Upper Middle,16271446,15297659,973787,655042,318745,5.98,6.88,5.81,10.24
2023-11,2023,Nov,Assam,Kolkata,Yes,45-54,Postgraduate,Lower Middle,16534954,15088201,1446753,914135,532618,8.75,9.51,7.26,13.32
2023-12,2023,Dec,Assam,Bangalore,Yes,25-34,Primary School,Lower Middle,16801667,16350368,451299,282092,169207,2.69,4.43,3.13,5.12
2024-01,2024,Jan,Assam,Non-Metro,No,25-34,Higher Secondary,Upper Middle,15961080,14815200,1145880,712169,433711,7.18,7.74,7.65,10.90
2024-02,2024,Feb,Assam,Non-Metro,No,45-54,Secondary School,Upper Middle,17026637,16237076,789561,442700,346861,4.64,3.82,5.44,8.04
